parameter,value
phi,-0.36993097549944104
sigma_eta,0.004404793506604912
sigma_eps,0.008305936174277677
sigma2_eta,1.94022058358288e-5
sigma2_eps,6.898857573117451e-5
signal_noise_ratio,0.2812379532436317
loglik,8735.534776985938
AIC,-17465.069553971876
BIC,-17447.3665328159
