date,filtered_mean,filtered_variance,smoothed_mean,smoothed_variance,simple_return
2015-04-01,0.0016578829322691927,3.931142812743355e-5,8.499980648790049e-4,3.6868923937991016e-5,0.0016592579799621365
2015-04-02,0.0010302916010201937,3.931142812743355e-5,7.634161767099901e-4,1.768898710433871e-5,0.0010308225337345434
2015-04-06,8.958772396163778e-4,3.931142812743355e-5,4.8529113483579574e-4,1.6168646570713743e-5,8.962786574953086e-4
2015-04-07,0.0011386325177037645,3.931142812743355e-5,0.0011160528686939711,1.60481333824676e-5,0.0011392810058155067
2015-04-08,6.924524702348907e-5,3.931142812743355e-5,-3.4106392175087654e-4,1.6038580635421763e-5,6.924764453097865e-5
2015-04-09,0.0017439277920931957,3.931142812743355e-5,0.0014316669298961267,1.6037823415590062e-5,0.0017454493185140585
2015-04-10,4.751599678430667e-4,3.931142812743355e-5,4.6396293554608293e-4,1.6037763392868765e-5,4.752728742227763e-4
2015-04-13,-2.0832935235454424e-4,3.931142812743355e-5,-1.360063574391456e-4,1.60377586350337e-5,-2.0830765330193124e-4
2015-04-14,1.4716899604878754e-4,3.931142812743355e-5,-1.79812074915839e-4,1.603775825789327e-5,1.471798259367052e-4
2015-04-15,9.130391138450304e-4,3.931142812743355e-5,0.0011069414201716166,1.6037758227998392e-5,9.134560609433962e-4
2015-04-16,-0.001250351758854798,3.931142812743355e-5,-0.001026471029539284,1.603775822562871e-5,-0.0012495703947882353
2015-04-17,-5.5155700360768115e-5,3.931142812743355e-5,-3.3264423561133247e-4,1.603775822544087e-5,-5.515417931312161e-5
2015-04-20,8.229996213682047e-4,3.931142812743355e-5,0.0010059981256598418,1.6037758225425983e-5,8.233383784825854e-4
2015-04-21,-0.0012601464227716638,3.931142812743355e-5,-9.54434093960862e-4,1.60377582254248e-5,-0.0012593527716754371
2015-04-22,-2.937695974249799e-4,3.931142812743355e-5,-6.196734705999935e-4,1.603775822542471e-5,-2.93726451361942e-4
2015-04-23,0.0014463662356681165,3.931142812743355e-5,0.0012662322343146393,1.60377582254247e-5,0.0014474127277881443
2015-04-24,-1.6054628745367427e-4,3.931142812743355e-5,1.0475111832006809e-4,1.60377582254247e-5,-1.6053340058808097e-4
2015-04-27,-9.523928356659908e-4,3.931142812743355e-5,-8.829023619722611e-4,1.60377582254247e-5,-9.519394535533188e-4
2015-04-28,2.992813753354538e-4,3.931142812743355e-5,0.00010550070576473693,1.60377582254247e-5,2.993261644743672e-4
2015-04-29,-6.557557503071308e-5,3.931142812743355e-5,5.775640944090516e-4,1.60377582254247e-5,-6.557342499968755e-5
2015-04-30,-0.0019009784727552898,3.931142812743355e-5,-0.0022600694797513484,1.60377582254247e-5,-0.0018991727575681239
2015-05-01,0.0023378619047668523,3.931142812743355e-5,0.0019786639043603517,1.60377582254247e-5,0.002340596834790709
2015-05-04,-2.271525209719984e-4,3.931142812743355e-5,4.109655717779519e-4,1.60377582254247e-5,-2.271267237914376e-4
2015-05-05,-0.002965170741843437,3.931142812743355e-5,-0.002182461335622331,1.60377582254247e-5,-0.0029607789649411798
2015-05-06,-0.0015388150763715708,3.931142812743355e-5,-0.0016831485056648192,1.60377582254247e-5,-0.0015376317075250778
2015-05-07,0.0014631267762323778,3.931142812743355e-5,0.001081904320917809,1.60377582254247e-5,0.0014641976684339753
2015-05-08,8.704018498184847e-4,3.931142812743355e-5,8.127844870167537e-4,1.60377582254247e-5,8.707807594350303e-4
2015-05-11,-5.192699417326989e-4,3.931142812743355e-5,-1.1734106681336758e-4,1.60377582254247e-5,-5.191351444295833e-4
2015-05-12,-0.0015850776393448254,3.931142812743355e-5,-0.0012354922144979428,1.60377582254247e-5,-0.0015838220672641512
2015-05-13,-5.484696090642432e-4,3.931142812743355e-5,-6.553014782910573e-4,1.60377582254247e-5,-5.483192271027448e-4
2015-05-14,9.091986458823237e-4,3.931142812743355e-5,5.823453900723032e-4,1.60377582254247e-5,9.096120922633677e-4
2015-05-15,0.0010125430172195663,3.931142812743355e-5,8.245890718911546e-4,1.60377582254247e-5,0.0010130558119614275
2015-05-19,-8.114940490933174e-5,3.931142812743355e-5,2.9301093887053976e-4,1.60377582254247e-5,-8.11461123854107e-5
2015-05-20,-7.399817401901179e-4,3.931142812743355e-5,-0.0012989372480106,1.60377582254247e-5,-7.397080212220297e-4
2015-05-21,0.002272773167611471,3.931142812743355e-5,0.002259061579089303,1.60377582254247e-5,0.0022753578743268665
2015-05-22,-6.838899776355292e-4,3.931142812743355e-5,-7.920678538520706e-4,1.60377582254247e-5,-6.836561781855544e-4
2015-05-25,-1.8160477889787668e-5,3.931142812743355e-5,6.372223778925919e-4,1.60377582254247e-5,-1.816031298929044e-5
2015-05-26,-0.00215360207290043,3.931142812743355e-5,-0.002321095607363223,1.60377582254247e-5,-0.0021512847357954
2015-05-27,0.0015521839750530153,3.931142812743355e-5,0.0013915940158561165,1.60377582254247e-5,0.0015533892361141444
2015-05-28,-4.923570867598269e-4,3.931142812743355e-5,-3.81141280970357e-6,1.60377582254247e-5,-4.922358988994624e-4
2015-05-29,-0.001335197565073428,3.931142812743355e-5,-0.0015530969512884483,1.60377582254247e-5,-0.0013343065853932412
2015-06-01,0.0013288262348097888,3.931142812743355e-5,0.0012678742575175628,1.60377582254247e-5,0.0013297095155897498
2015-06-02,1.1040979506936517e-4,3.931142812743355e-5,-2.750824362885929e-4,1.60377582254247e-5,1.1041589045501787e-4
2015-06-03,7.585123498205004e-4,3.931142812743355e-5,0.0013283619522285932,1.60377582254247e-5,7.588000930605077e-4
2015-06-04,-0.0023562554676723807,3.931142812743355e-5,-0.0023046106847008545,1.60377582254247e-5,-0.0023534816767722955
2015-06-05,-3.2813924304675175e-4,3.931142812743355e-5,6.882179811048022e-4,1.60377582254247e-5,-3.2808541125362023e-4
