parameter,value
phi,0.43982951574250684
sigma_eta,0.0016270708135410678
sigma_y,0.0051440831050797945
nu,2.939937381247138
mu0,0
sigma0,0.009559538395137944
loglik,9323.015346973516
AIC,-18638.030693947032
