Date,EqualWeight,Omega,CVaR,MV,MVEU,scenario
2017-01-04,1.0005443185625031,1.0000644789281883,1.000779333145719,1.000779333145719,1.0007793331704609,gaussian
2017-01-05,1.0009396188274264,1.0001159396152524,1.0013431585577521,1.0013431585577521,1.0013431586002413,gaussian
2017-01-06,1.000144590163599,1.0000636110335266,1.0001839261569563,1.0001839261569563,1.0001839261610983,gaussian
2017-01-09,0.9995520712010597,1.0000288989227026,0.9993181733619592,0.9993181733619592,0.9993181733373439,gaussian
2017-01-10,1.0000200984807388,1.000086740923574,0.99998695707359,0.99998695707359,0.9999869570701053,gaussian
2017-01-11,1.0004042557445616,1.0001372484666695,1.0005345119139988,1.0005345119139988,1.000534511927717,gaussian
2017-01-12,0.9997416495101281,1.0000964332912994,0.9995672459158736,0.9995672459158736,0.9995672458975234,gaussian
2017-01-13,1.0005519237256049,1.0001841452699956,1.0007312268963808,1.0007312268963808,1.0007312269152593,gaussian
2017-01-16,1.0001969402024384,1.0001701688837241,1.0002091347750275,1.0002091347750275,1.0002091347763171,gaussian
2017-01-17,1.0000159369845136,1.0001713621856387,0.999938892518488,0.999938892518488,0.9999388925103885,gaussian
2017-01-18,0.999741880367555,1.000164431867457,0.9995340341580558,0.9995340341580558,0.9995340341361936,gaussian
2017-01-19,0.9999232518643655,1.0001972508370702,0.9997881172737085,0.9997881172737085,0.9997881172595027,gaussian
2017-01-20,1.0009509112936414,1.0003039322517748,1.0012666653401974,1.0012666653401974,1.0012666653734494,gaussian
2017-01-23,1.0001515736282773,1.0002512188711647,1.0001012972075434,1.0001012972075434,1.0001012972022594,gaussian
2017-01-24,1.0013938696619158,1.0003766158398808,1.0018905412730412,1.0018905412730412,1.00189054132533,gaussian
2017-01-25,1.001309435115228,1.0003862459402613,1.0017599664664372,1.0017599664664372,1.001759966513871,gaussian
2017-01-26,1.0011285924298092,1.0003874710452798,1.0014898290563146,1.0014898290563146,1.0014898290943492,gaussian
2017-01-27,1.0008870586723704,1.0003834015422317,1.0011318630448094,1.0011318630448094,1.0011318630705883,gaussian
2017-01-30,0.9996509131311327,1.0002925844405335,0.9993343444299354,0.9993343444299354,0.9993343443966142,gaussian
2017-01-31,0.9998627555005207,1.0003280695403314,0.9996324793008177,0.9996324793008177,0.9996324792765809,gaussian
2017-02-01,0.9999424896873688,1.0003523799487246,0.999739339720927,0.999739339720927,0.9997393396995492,gaussian
2017-02-02,0.9999066153416921,1.0003665986779957,0.9996789460475319,0.9996789460475319,0.9996789460235781,gaussian
2017-02-03,1.0005273946774225,1.0004381410659013,1.000568542711544,1.000568542711544,1.000568542715884,gaussian
2017-02-06,1.000214204589175,1.0004281674410485,1.0001068255160435,1.0001068255160435,1.0001068255047532,gaussian
2017-02-07,1.0006381978735264,1.0004825230579566,1.0007117996956967,1.0007117996956967,1.0007117997034585,gaussian
2017-02-08,1.0009560959040047,1.0005276099022977,1.0011633442400587,1.0011633442400587,1.0011633442618935,gaussian
2017-02-09,1.0013645946018264,1.0005805920702049,1.0017460763976338,1.0017460763976338,1.0017460764378163,gaussian
2017-02-10,1.0021156457373657,1.00066342898582,1.0028247827209646,1.0028247827209646,1.0028247827956533,gaussian
2017-02-13,1.0021255129509246,1.0006816443874347,1.0028305523136805,1.0028305523136805,1.002830552387942,gaussian
2017-02-14,1.0023581605171,1.0007192711071982,1.003158920941508,1.003158920941508,1.0031589210258567,gaussian
2017-02-15,1.002751723231247,1.0007709124496909,1.0037203557348655,1.0037203557348655,1.0037203558369028,gaussian
2017-02-16,1.0027981974024565,1.0007923171426372,1.0037791443522328,1.0037791443522328,1.0037791444555717,gaussian
2017-02-17,1.0026038862190283,1.000792754078056,1.0034891661405472,1.0034891661405472,1.0034891662338108,gaussian
2017-02-21,1.0033033245837064,1.000871032192544,1.0044936515018519,1.0044936515018519,1.0044936516272571,gaussian
2017-02-22,1.0024233356582537,1.00081179298183,1.003210227607709,1.003210227607709,1.0032102276906028,gaussian
2017-02-23,1.002312063868377,1.000819457664686,1.0030405643034441,1.0030405643034441,1.0030405643801912,gaussian
2017-02-24,1.0004647142940852,1.0006758630843926,1.0003569098988925,1.0003569098988925,1.0003569098875504,gaussian
2017-02-27,1.0004572006391568,1.0006925632196493,1.0003375406912731,1.0003375406912731,1.0003375406786876,gaussian
2017-02-28,0.9999737279421239,1.0006677234044492,0.9996295218294775,0.9996295218294775,0.9996295217932635,gaussian
2017-03-01,1.001670813076204,1.0008343453853081,1.0020754075435887,1.0020754075435887,1.0020754075861704,gaussian
2017-03-02,1.000722629840358,1.0007701202636352,1.0006937500842834,1.0006937500842834,1.000693750081224,gaussian
2017-03-03,1.0015544134793453,1.0008611417453077,1.0018883098884754,1.0018883098884754,1.0018883099236053,gaussian
2017-03-06,1.001496350255105,1.0008745201676152,1.0017952206017886,1.0017952206017886,1.001795220633235,gaussian
2017-03-07,1.001364814468437,1.000881491507354,1.0015957855424324,1.0015957855424324,1.0015957855667343,gaussian
2017-03-08,1.0005555493309235,1.0008293537349944,1.0004154367115983,1.0004154367115983,1.0004154366968356,gaussian
2017-03-09,1.000794848776509,1.0008686805630946,1.0007526362584958,1.0007526362584958,1.000752636254041,gaussian
2017-03-10,1.0008167772637164,1.0008890355441844,1.0007753351913173,1.0007753351913173,1.0007753351869482,gaussian
2017-03-13,1.0011170320597833,1.0009336783916023,1.001200766890943,1.001200766890943,1.001200766899754,gaussian
2017-03-14,0.9997694861453211,1.0008345606114286,0.9992416141967431,0.9992416141967431,0.9992416141411756,gaussian
