testing_start,testing_end,model,Return,Std,Sharpe,CVaR,Omega,Sortino,NbStocks,HHI,scenario
2016-10-03,2017-01-03,EqualWeight,0.00037384011129664655,0.002661166726412965,0.14047977813120804,0.00011449279268114972,1.4646774243670866,0.18424767438715126,2.0,0.5,unfiltered
2016-10-03,2017-01-03,Omega,2.2008635285478974e-5,1.5750070739185817e-5,1.3973673928157029,2.0444758353063037e-5,20.131212717589683,4.9119361554827305,2.0,0.9940908255239804,unfiltered
2016-10-03,2017-01-03,CVaR,0.00015569752956998877,0.0010209366364724837,0.15250459627734705,5.6181122425714826e-5,1.5129708360175493,0.19998896983247622,2.0,0.6899408191727732,unfiltered
2016-10-03,2017-01-03,MV,0.00015569752956998877,0.0010209366364724837,0.15250459627734705,5.6181122425714826e-5,1.5129708360175493,0.19998896983247622,2.0,0.6899408191727732,unfiltered
2016-10-03,2017-01-03,MVEU,0.00015569752998574065,0.0010209366395985333,0.15250459621761264,5.618112253685113e-5,1.5129708357735958,0.19998896975429165,2.0,0.6899408184489668,unfiltered
2017-01-04,2017-04-03,EqualWeight,0.00010957076333064183,0.0026610173918066027,0.04117626726830698,-0.00014518862775825259,1.108813699625563,0.062334050478920724,2.0,0.5,unfiltered
2017-01-04,2017-04-03,Omega,0.00019981338896913134,0.005322001982243462,0.03754477913307749,-0.0003096887833010172,1.0987871582951285,0.05622720768697735,1.0,1.0,unfiltered
2017-01-04,2017-04-03,CVaR,4.056573404514474e-5,0.0006262661338701787,0.0647739544759637,-1.9401750765437973e-5,1.1760347402785436,0.0980769580898273,2.0,0.7923533319548821,unfiltered
2017-01-04,2017-04-03,MV,4.056573404514474e-5,0.0006262661338701787,0.0647739544759637,-1.9401750765437973e-5,1.1760347402785436,0.0980769580898273,2.0,0.7923533319548821,unfiltered
2017-01-04,2017-04-03,MVEU,4.056573425898462e-5,0.0006262661401509241,0.06477395416780583,-1.940175115287064e-5,1.1760347393757866,0.09807695762297297,2.0,0.7923533302266778,unfiltered
2017-04-04,2017-07-04,EqualWeight,-0.00021534011638865217,0.0028432097036554765,-0.07573838683505908,-0.0005059441080584047,0.8225348512656702,-0.10966994691832019,2.0,0.5,unfiltered
2017-04-04,2017-07-04,Omega,-0.0004530215356439662,0.005686481433088135,-0.07966640548722334,-0.001034324080785822,0.8143112386188665,-0.11536397328823345,1.0,1.0,unfiltered
2017-04-04,2017-07-04,CVaR,-4.273892873521712e-5,0.0007784650457150422,-0.054901538573206204,-0.00012224137222495213,0.8677313961851245,-0.07969284989438453,2.0,0.7636738737363342,unfiltered
2017-04-04,2017-07-04,MV,-4.273892873521712e-5,0.0007784650457150422,-0.054901538573206204,-0.00012224137222495213,0.8677313961851245,-0.07969284989438453,2.0,0.7636738737363342,unfiltered
2017-04-04,2017-07-04,MVEU,-4.2738929143395486e-5,0.0007784650506094005,-0.05490153875236719,-0.00012224137313353265,0.8677313957851999,-0.07969285015455603,2.0,0.7636738725608132,unfiltered
2017-07-05,2017-10-03,EqualWeight,0.0003267109569776064,0.0018677031531275498,0.17492659710431754,0.00015928072820038756,1.5395994862425584,0.2958897784991021,2.0,0.5,unfiltered
2017-07-05,2017-10-03,Omega,3.458288135519767e-5,2.3097258200496183e-5,1.4972721461136347,3.228197422487266e-5,61.01526955662242,3.10458462405917,2.0,0.9886500807222725,unfiltered
2017-07-05,2017-10-03,CVaR,0.00019632881090675297,0.0010441016786234371,0.18803610311746313,0.00010259884284454606,1.590614827053087,0.32095897778881577,2.0,0.597339167945331,unfiltered
2017-07-05,2017-10-03,MV,0.00019632881090675297,0.0010441016786234371,0.18803610311746313,0.00010259884284454606,1.590614827053087,0.32095897778881577,2.0,0.597339167945331,unfiltered
2017-07-05,2017-10-03,MVEU,0.00019632881126260867,0.001044101680871295,0.18803610305346288,0.00010259884299925005,1.5906148267997189,0.32095897767893244,2.0,0.5973391674140325,unfiltered
2017-10-04,2018-01-04,EqualWeight,0.0003597020971997065,0.0015430971551296255,0.2331039857107962,0.00021675159473585708,1.797676137451566,0.3607651522902813,2.0,0.5,unfiltered
2017-10-04,2018-01-04,Omega,4.238424183306134e-5,1.9659704819230868e-5,2.1558941104548848,4.053188140695304e-5,190.96237998220067,13.96427458121251,2.0,0.9876951665932701,unfiltered
2017-10-04,2018-01-04,CVaR,0.0002350335071094632,0.0009444877185389784,0.24884760542258288,0.0001475345097804804,1.8700453093637108,0.3877313697744702,2.0,0.5752789454426528,unfiltered
2017-10-04,2018-01-04,MV,0.0002350335071094632,0.0009444877185389784,0.24884760542258288,0.0001475345097804804,1.8700453093637108,0.3877313697744702,2.0,0.5752789454426528,unfiltered
2017-10-04,2018-01-04,MVEU,0.0002350335074070736,0.0009444877199678607,0.24884760536121253,0.00014753450994572763,1.8700453090784794,0.3877313696784386,2.0,0.5752789450841992,unfiltered
2018-01-05,2018-04-05,EqualWeight,-0.0004945389638076415,0.0034609494346654096,-0.14289112659499215,-0.0008490989003797041,0.6750097281081109,-0.18313218970317777,2.0,0.5,unfiltered
2018-01-05,2018-04-05,Omega,3.2190640105143934e-5,7.046367417804803e-5,0.45684021562378985,2.4944724583773014e-5,3.153988001961798,0.6306116679046484,2.0,0.9798449909796692,unfiltered
2018-01-05,2018-04-05,CVaR,-0.00028760086681512087,0.0021289123923660977,-0.13509286142840193,-0.0005057103323273666,0.6898649624942649,-0.17315201708648376,2.0,0.5740638718519564,unfiltered
