testing_start,testing_end,model,Return,Std,Sharpe,CVaR,Omega,Sortino,NbStocks,HHI,scenario
2016-04-04,2016-06-30,EqualWeight,0.0001862515449404963,0.00027910751716697673,0.6673111022985128,0.00016452139097374862,4.839499553629845,1.7201158395675218,2.0,0.5,student_t
2016-04-04,2016-06-30,Omega,0.0003518212735988534,0.0005581858666547682,0.6302941271288959,0.00030836253233310627,4.415408007787097,1.5005226006920807,1.0,1.0,student_t
2016-04-04,2016-06-30,CVaR,0.00013102555630771184,0.00018602112449209542,0.7043584789924194,0.00011654299962160653,5.30040922759291,1.81310816279915,2.0,0.5556282155222615,student_t
2016-04-04,2016-06-30,MV,0.00013102555630771184,0.00018602112449209542,0.7043584789924194,0.00011654299962160653,5.30040922759291,1.81310816279915,2.0,0.5556282155222615,student_t
2016-04-04,2016-06-30,MVEU,0.0001310255879462151,0.00018602117782004273,0.7043584471493322,0.0001165430271080404,5.300408807200169,1.8131080829922088,2.0,0.5556281517935332,student_t
2016-07-04,2016-09-30,EqualWeight,0.0002068660175836563,0.00022509887671479925,0.9190006658529709,0.00018509163808769213,9.935698384233122,3.7107370118311302,2.0,0.5,student_t
2016-07-04,2016-09-30,Omega,0.0003938084599966835,0.00045020052073375385,0.8747401254775085,0.0003502597010047552,8.896732543526051,2.9427166565929594,1.0,1.0,student_t
2016-07-04,2016-09-30,CVaR,0.00014039495235019503,0.000145060024042487,0.9678404045285033,0.00012636288209771763,11.263542747486094,3.9219606071187023,2.0,0.5632149002011473,student_t
2016-07-04,2016-09-30,MV,0.00014039495235019503,0.000145060024042487,0.9678404045285033,0.00012636288209771763,11.263542747486094,3.9219606071187023,2.0,0.5632149002011473,student_t
2016-07-04,2016-09-30,MVEU,0.00014039474324654502,0.0001450597290079232,0.9678409315026131,0.0001263627015333207,11.263558373887621,3.9219628933922372,2.0,0.563217810062077,student_t
2016-10-03,2017-01-03,EqualWeight,0.00019828958779338678,0.00022544612050960286,0.8795431358285034,0.00017885990895800488,8.89648966171744,2.334224650280682,2.0,0.5,student_t
2016-10-03,2017-01-03,Omega,0.00037666818532543906,0.0004510895291790378,0.8350186846743214,0.00033783578083062724,7.79449842581733,2.153657361640533,1.0,1.0,student_t
2016-10-03,2017-01-03,CVaR,0.00011673071066006097,0.00012227793034748493,0.9546343344897965,0.00010617241292085975,11.114633303306192,2.590325910500143,2.0,0.6045266399836144,student_t
2016-10-03,2017-01-03,MV,0.00011673071066006097,0.00012227793034748493,0.9546343344897965,0.00010617241292085975,11.114633303306192,2.590325910500143,2.0,0.6045266399836144,student_t
2016-10-03,2017-01-03,MVEU,0.0001167308972989043,0.00012227816643265162,0.9546340177025582,0.00010617257925856744,11.114622356505235,2.590325048096674,2.0,0.6045261616439322,student_t
2017-01-04,2017-04-03,EqualWeight,0.000161418914767295,0.0002544903845048303,0.6342829615404635,0.00014017656295544633,4.741541371886495,1.486634659002268,2.0,0.5,student_t
2017-01-04,2017-04-03,Omega,0.0003035096918424377,0.0005089758800605947,0.5963144890211777,0.000260995527660135,4.283894102754522,1.3982710398248335,1.0,1.0,student_t
2017-01-04,2017-04-03,CVaR,8.65313301336663e-5,0.00012036705053733492,0.7188954929723596,7.650008351804449e-5,5.989377763606352,1.7349400932387136,2.0,0.6388858088549985,student_t
2017-01-04,2017-04-03,MV,8.65313301336663e-5,0.00012036705053733492,0.7188954929723596,7.650008351804449e-5,5.989377763606352,1.7349400932387136,2.0,0.6388858088549985,student_t
2017-01-04,2017-04-03,MVEU,8.653132883085885e-5,0.00012036704627604037,0.7188955075994361,7.650008257310949e-5,5.989378009274062,1.7349401285817847,2.0,0.6388859027497483,student_t
2017-04-04,2017-07-04,EqualWeight,0.00011533121612469644,0.00022096496810731286,0.5219434424948537,9.673850367715453e-5,3.7082144591360984,1.2278220075713788,2.0,0.5,student_t
2017-04-04,2017-07-04,Omega,0.000208321129382731,0.0004418804027049461,0.4714423362237947,0.00017112662346078039,3.2100666809039695,1.1025363699055037,1.0,1.0,student_t
2017-04-04,2017-07-04,CVaR,6.657911378535186e-5,0.00010515761081456219,0.6331364251205677,5.7738819717244964e-5,5.134432683157357,1.5337556380828863,2.0,0.6374310979797366,student_t
2017-04-04,2017-07-04,MV,6.657911378535186e-5,0.00010515761081456219,0.6331364251205677,5.7738819717244964e-5,5.134432683157357,1.5337556380828863,2.0,0.6374310979797366,student_t
2017-04-04,2017-07-04,MVEU,6.657911428204086e-5,0.00010515761037098366,0.6331364325145616,5.7738820251805885e-5,5.134432798519684,1.5337556553932659,2.0,0.63743114574853,student_t
2017-07-05,2017-10-03,EqualWeight,0.00018336246903468935,0.00021936129119455106,0.8358925498485764,0.0001648683008903908,7.1034402666807495,2.4942609107545244,2.0,0.5,student_t
2017-07-05,2017-10-03,Omega,0.0003355152244476673,0.00043705037593550313,0.7676808965774241,0.0002987374362217502,5.968821127100057,2.1401612133630237,1.0,1.0,student_t
2017-07-05,2017-10-03,CVaR,0.00011192241085867573,0.00011719718127893556,0.9549923439907176,0.00010195169505443729,9.722471808750548,3.4195914482914653,2.0,0.6102285158955134,student_t
2017-07-05,2017-10-03,MV,0.00011192241085867573,0.00011719718127893556,0.9549923439907176,0.00010195169505443729,9.722471808750548,3.4195914482914653,2.0,0.6102285158955134,student_t
2017-07-05,2017-10-03,MVEU,0.00011192241144340314,0.000117197182114669,0.9549923421699262,0.00010195169556978746,9.72247176008051,3.419591442731722,2.0,0.6102285140913475,student_t
