Date,EqualWeight,Omega,CVaR,MV,MVEU,scenario
2016-04-04,0.999716529588917,0.9994116880277427,0.9998182098702622,0.9998182098702622,0.9998182098120107,student_t
2016-04-05,0.9995388428959178,0.9990350644278518,0.9997069058278899,0.9997069058278899,0.9997069057316049,student_t
2016-04-06,0.9997385573981594,0.9994129415874563,0.9998471539736431,0.9998471539736431,0.9998471539114315,student_t
2016-04-07,0.9996034540524401,0.9991214642986193,0.9997642320202665,0.9997642320202665,0.9997642319281577,student_t
2016-04-08,0.999983932073054,0.9998607010465591,1.0000249686020604,1.0000249686020604,1.0000249685785614,student_t
2016-04-11,1.0003297507981381,1.0005308850910521,1.0002625770713847,1.0002625770713847,1.0002625771098808,student_t
2016-04-12,1.0009165376373914,1.0016833122419437,1.0006607444164912,1.0006607444164912,1.0006607445630384,student_t
2016-04-13,1.0015674064587774,1.0029646399856773,1.0011015373638021,1.0011015373638021,1.0011015376306691,student_t
2016-04-14,1.0018760939423044,1.003561441711921,1.0013143022889834,1.0013143022889834,1.001314302610778,student_t
2016-04-15,1.0019334450826196,1.0036548896815929,1.0013596401953453,1.0013596401953453,1.0013596405240184,student_t
2016-04-18,1.0023404587324032,1.0044488663206572,1.0016378766560405,1.0016378766560405,1.0016378770584464,student_t
2016-04-19,1.0029549493878398,1.0056589665471498,1.002054256185043,1.002054256185043,1.0020542567008652,student_t
2016-04-20,1.0034681890220791,1.0066667211668243,1.0024031399464417,1.0024031399464417,1.0024031405563376,student_t
2016-04-21,1.0036094778143394,1.006928685835411,1.002504347250435,1.002504347250435,1.0025043478832687,student_t
2016-04-22,1.0037061235133748,1.0071010972763448,1.0025758319573,1.0025758319573,1.0025758326045322,student_t
2016-04-25,1.0035354472254647,1.0067370671878832,1.002469359784899,1.002469359784899,1.002469360395391,student_t
2016-04-26,1.0036102682682098,1.0068656715536408,1.0025263171795642,1.0025263171795642,1.0025263178002792,student_t
2016-04-27,1.0040156870971146,1.0076576214422412,1.0028033626165997,1.0028033626165997,1.0028033633107791,student_t
2016-04-28,1.0042408658297386,1.0080880777174652,1.0029603998543823,1.0029603998543823,1.0029604005875523,student_t
2016-04-29,1.0046685593214306,1.0089251976570675,1.0032522216898645,1.0032522216898645,1.003252222500775,student_t
2016-05-02,1.004624585366708,1.0088153152329609,1.0032301081739217,1.0032301081739217,1.0032301089723263,student_t
2016-05-03,1.0043400469456862,1.0082223049782435,1.003047892513528,1.003047892513528,1.0030478932533946,student_t
2016-05-04,1.0040087130799658,1.0075355288466346,1.0028345096671385,1.0028345096671385,1.0028345103395193,student_t
2016-05-05,1.0039563003284222,1.0074088029264057,1.002806768684717,1.002806768684717,1.0028067693429805,student_t
2016-05-06,1.0042888783267216,1.0080547168414262,1.0030353094747086,1.0030353094747086,1.0030353101925058,student_t
2016-05-09,1.004167351256889,1.0077892080193236,1.0029615690153515,1.0029615690153515,1.0029615697058063,student_t
2016-05-10,1.004521744329754,1.0084790130188226,1.0032046197178488,1.0032046197178488,1.0032046204720142,student_t
2016-05-11,1.0047962939236879,1.0090087230021427,1.0033945042573926,1.0033945042573926,1.0033945050599982,student_t
2016-05-12,1.004974520572875,1.0093451069904713,1.003520270049046,1.003520270049046,1.0035202708816642,student_t
2016-05-13,1.004950942780571,1.0092761754626915,1.0035117328642,1.0035117328642,1.0035117336882142,student_t
2016-05-16,1.0053750339978105,1.0101064390174466,1.003801116568596,1.003801116568596,1.0038011174696726,student_t
2016-05-17,1.0057240513981325,1.0107861717099953,1.0040405101115786,1.0040405101115786,1.0040405110753592,student_t
2016-05-18,1.0056370520085185,1.0105896954780922,1.0039897837095788,1.0039897837095788,1.0039897846526138,student_t
2016-05-19,1.0056411682768205,1.0105763710949016,1.0039996793122106,1.0039996793122106,1.0039996802519404,student_t
2016-05-20,1.0060586974241499,1.0113939302744346,1.0042846437773216,1.0042846437773216,1.0042846447928728,student_t
2016-05-24,1.0064480662512265,1.0121551830030564,1.0045508394801568,1.0045508394801568,1.0045508405661483,student_t
2016-05-25,1.0070258527339075,1.0132956777854305,1.0049423395023713,1.0049423395023713,1.0049423406948839,student_t
2016-05-26,1.0073060813070949,1.0138379690896697,1.005135874693468,1.005135874693468,1.005135875935544,student_t
2016-05-27,1.0077288872314725,1.014667397434705,1.0054242110785951,1.0054242110785951,1.0054242123975417,student_t
2016-05-30,1.0078846829205872,1.0149594496021057,1.0055349705026944,1.0055349705026944,1.005534971847383,student_t
2016-05-31,1.0079281541303586,1.0150253114563403,1.0055710421236916,1.0055710421236916,1.0055710434726097,student_t
2016-06-01,1.0080116322869577,1.0151737547675326,1.0056330519209693,1.0056330519209693,1.0056330532821576,student_t
2016-06-02,1.0084031380071066,1.0159426381830352,1.005899861127487,1.005899861127487,1.0058998625599445,student_t
2016-06-03,1.0089646672205725,1.017054386959755,1.006279670693249,1.006279670693249,1.0062796722295542,student_t
2016-06-06,1.0094739540968498,1.0180613995209717,1.006624691644345,1.006624691644345,1.006624693274507,student_t
2016-06-07,1.0100788664512628,1.0192617685410388,1.0070332096558292,1.0070332096558292,1.0070332113981868,student_t
2016-06-08,1.0101827508057346,1.0194516553597877,1.0071087499446176,1.0071087499446176,1.0071087517031647,student_t
2016-06-09,1.0100306047214507,1.0191247967112627,1.007014176866253,1.007014176866253,1.0070141785919173,student_t
2016-06-10,1.0097202540424572,1.0184787385189351,1.0068144770664553,1.0068144770664553,1.0068144787289177,student_t
2016-06-13,1.0094848890965291,1.0179841698527123,1.006664583831418,1.006664583831418,1.0066645854450553,student_t
