Data_Source,MAE_Mean,MAE_SD,RMSE_Mean,RMSE_SD,Bias_Mean,Bias_SD,HitRate_Mean,HitRate_SD,DirAcc_Mean,DirAcc_SD
Raw,0.005821189878590483,0.005780726288600273,0.0069127939791219445,0.006711326639346563,9.885369811657739e-5,0.004346789679799668,0.5173824130879345,0.23653167347930207,0.7554192229038855,0.23411911576679867
Gaussian,0.005821448541074474,0.005693803696062678,0.006904102653165255,0.006579272128194874,3.0762034015499465e-4,0.004309928723765492,0.5132924335378323,0.22833861459232604,0.5705521472392638,0.23598394864247932
Student-t,0.005788004405584017,0.005709836256770956,0.00686408473825307,0.006580611633659097,8.31123383719319e-6,0.004275797239071342,0.5623721881390593,0.23165321852101442,0.5337423312883436,0.23370348460535437
