window_id,test_start,test_end,mae_raw,rmse_raw,bias_raw,hit_rate_raw,dir_acc_raw,mae_gaussian,rmse_gaussian,bias_gaussian,hit_rate_gaussian,dir_acc_gaussian,mae_student_t,rmse_student_t,bias_student_t,hit_rate_student_t,dir_acc_student_t
1,2016-04-04,2016-04-08,0.005653711746763108,0.0063265657926560885,-1.2795534279469922e-4,0.6,0.6,0.005846624071299477,0.006481670775758082,-5.942092194220605e-4,0.4,0.4,0.0058466841804298815,0.006446745334749554,-8.379723723854512e-4,0.4,0.4
2,2016-04-11,2016-04-15,0.004464750082007155,0.006332872848131455,0.0037553100989413594,0.6,0.8,0.004646261279788252,0.006237666638302218,0.0037174402869610827,0.4,0.6,0.00444517412838716,0.005983999090103533,0.0032445431725201903,0.6,0.4
3,2016-04-18,2016-04-22,0.0046708085214702665,0.006132089045412771,0.003993521709110451,0.4,1,0.004527112120871588,0.005807195340848265,0.00352807101738635,0.4,0.6,0.004489479818912246,0.005646616966114859,0.003232063822182295,0.6,0.6
4,2016-04-25,2016-04-29,0.00359994486564558,0.004277898498118727,0.0015076965580206971,0.4,0.8,0.0034181800552111137,0.0041776017758609835,0.0011887996891501616,0.4,0.4,0.003354622098074569,0.004094858770750096,8.796705398033454e-4,0.6,0.6
5,2016-05-02,2016-05-06,0.005735588210180149,0.006688987930494593,-0.0033995735743095794,0.4,0.8,0.005607737463622271,0.006661035609579377,-0.003518170618396275,0.6,0.8,0.0058920013121814534,0.006958648781743374,-0.00396219342704523,0.2,0.8
6,2016-05-09,2016-05-13,0.006067972381307753,0.008550342529482231,8.715564176260272e-4,0.4,0.8,0.005845281915808953,0.008331967251687073,7.789598103483792e-4,0.6,0.8,0.0059434495958671065,0.00836737549386838,3.727070915543332e-4,0.4,0.6
7,2016-05-16,2016-05-20,0.005492492559759469,0.006739464061856768,0.002888805795097938,0.4,0.8,0.005347609161238474,0.006487097965767922,0.0025192085224997095,0.6,0.8,0.005336301482917841,0.006446338285278584,0.0022775975868062313,0.6,0.6
8,2016-05-24,2016-05-30,0.002889211787167234,0.003940280565262263,0.0025041742391200216,0.6,1,0.003093014501406456,0.003937450257348054,0.0024943567089651766,0.4,0.4,0.0029232634805327674,0.003656352203022292,0.002047072260139611,0.6,0.4
9,2016-05-31,2016-06-06,0.0034095889213314784,0.0042198636441427165,0.0029819058061370733,0.4,0.8,0.003355332356133499,0.004077368110713187,0.0027108114736678897,0.2,0.8,0.00328388213820317,0.0038729034620768325,0.0024108997766071143,0.6,0.4
10,2016-06-07,2016-06-13,0.006286485527511303,0.007483012141675222,-0.003908769472713454,1,0.8,0.006486185778608878,0.00765453847174533,-0.003946951910428075,0.8,0.8,0.006640208406139417,0.0077929723196343646,-0.004387253586292098,0.2,0.8
11,2016-06-14,2016-06-20,0.004608273341270146,0.005324388996245155,6.277117817545506e-4,0.4,0.8,0.004635978165671711,0.005407991650297856,3.4901111721062194e-4,0.4,0.4,0.004538690732210725,0.005311700864863242,1.7891148378299096e-4,0.8,0.6
12,2016-06-21,2016-06-27,0.00846605217658773,0.010782300048432968,-0.004764006790153795,0.6,0.8,0.008290406361284485,0.010843953019502556,-0.004618101747690643,0.8,0.8,0.008579163852705128,0.010987383359541556,-0.005088522831872983,0.2,0.8
13,2016-06-28,2016-07-05,0.009375103809140233,0.010978944994754434,0.008405621849915165,0.2,1,0.008688901113400278,0.010167951442900097,0.007610322597229404,0.4,0.8,0.008677377333131077,0.010123961978050478,0.007478972390582979,0.6,0.8
14,2016-07-06,2016-07-12,0.006463563767731779,0.007003842936376656,0.003810722165907355,0.2,0.8,0.006292094882468597,0.006936431452807868,0.00358792088641269,0.4,0.8,0.006161096580914423,0.006797642478402588,0.0033293334516936056,0.8,0.2
15,2016-07-13,2016-07-19,0.0015040310505618408,0.00193325990728117,3.6607045522299485e-4,0.6,1,0.0017827529024338064,0.002036769108592745,6.816975520819279e-4,0.6,0.8,0.0015551241637876067,0.0019031983307679719,1.6633003797861533e-4,0.6,0.6
16,2016-07-20,2016-07-26,0.0032054047657186597,0.003840990576918557,3.975773256953484e-4,0.2,0.8,0.0031634400231951875,0.0038336782275174585,3.4468494926433066e-4,0.4,0.8,0.0030026359006511123,0.003818439677053562,7.198635480299925e-5,0.8,0.2
17,2016-07-27,2016-08-03,0.0025412590883580597,0.0035860488190895905,-7.25302196875824e-4,0.6,1,0.0024381150737194743,0.0035585688757909426,-5.095600206139833e-4,0.8,0.6,0.002433076158710979,0.003615232468413611,-8.452506315425278e-4,0.6,0.6
18,2016-08-04,2016-08-10,0.004224211686715113,0.00515204274455323,0.0035107133514236904,0.8,0.4,0.004326166876497717,0.005184464030167759,0.003616685953290001,0.4,0.2,0.004121518128746424,0.0049871371129545875,0.0032990912532162133,0.8,0.2
19,2016-08-11,2016-08-17,0.0024802936481245355,0.0029449740904823407,-0.0010783691463723051,0.2,0.6,0.0024052276194291306,0.0028907386584709513,-0.0010764542374407406,0.4,0.6,0.002478989633278672,0.003015989219289325,-0.0013472058310887134,0.4,0.6
20,2016-08-18,2016-08-24,0.0030833024018651406,0.004664559575706185,-0.001080986868658301,0.4,0.6,0.003071730524203104,0.004643108486756083,-9.907613819389463e-4,0.6,0.6,0.0031001625788075475,0.0047086555031760555,-0.0012237389561880864,0.4,0.4
21,2016-08-25,2016-08-31,0.00201644661601861,0.0030785127460374283,-6.396768962335359e-4,0.6,1,0.0019405964945013391,0.0029794177491597284,-5.430827491407811e-4,0.8,0.8,0.001927646367168177,0.0030338562308769787,-6.075282241099998e-4,0.8,0.8
