Scenario,Gamma,Avg_Return,Avg_Std,Avg_Sharpe,Avg_TSX_Weight,Total_Cumulative_Wealth
gaussian,1.0,5.675329400680194e-05,0.0008728463676985236,669609.4651834543,0.421052619599182,1.1402485450718025
student_t,1.0,0.00034456040766065723,0.0005068402866529123,0.7027465589138011,0.9999999992512871,2.2805315645270823
unfiltered,1.0,0.00013193102555096744,0.005388952747044653,6.373177386959904,0.7099106219320591,1.2599241184663617
