date,log_return
2015-04-01,0.0026938678545960215
2015-04-02,0.005605770068086713
2015-04-06,0.004919175355469818
2015-04-07,0.005817187990119876
2015-04-08,0.0016314376934740693
2015-04-09,0.007380555212273876
2015-04-10,0.004043710025678493
2015-04-13,-3.12022701738357e-4
2015-04-14,3.704685282333031e-4
2015-04-15,0.003994829311695369
2015-04-16,-0.004157293044087851
2015-04-17,-0.0017042222856584743
2015-04-20,0.0033795673386709524
2015-04-21,-0.004304387071112359
2015-04-22,-0.002714452368328679
2015-04-23,0.005707414563936197
2015-04-24,0.0010324061059581169
2015-04-27,-0.004175302727809083
2015-04-28,1.3033476834500846e-4
2015-04-29,7.820543413394887e-5
2015-04-30,-0.008033577735883313
2015-05-01,0.007544772977871261
2015-05-04,0.001804144486960979
2015-05-05,-0.012678017381757556
2015-05-06,-0.009934579990314774
2015-05-07,0.004310441383664099
2015-05-08,0.005367059549820752
2015-05-11,-0.001147684747291322
2015-05-12,-0.007246033782033479
2015-05-13,-0.0041633558242359925
2015-05-14,0.003159036935137749
2015-05-15,0.005309242040747009
2015-05-19,8.535081477667461e-4
2015-05-20,-0.003192724106821032
2015-05-21,0.008640434198191826
2015-05-22,-1.8417102454826306e-4
2015-05-25,-8.818827600691748e-4
2015-05-26,-0.009035029485843893
2015-05-27,0.0039587334541550945
2015-05-28,-2.316538440076954e-4
2015-05-29,-0.0061684789999230105
2015-06-01,0.003988279863188282
2015-06-02,0.0020279531739397783
2015-06-03,0.00330476115590983
2015-06-04,-0.008968002946261322
2015-06-05,-0.004149922497118652
2015-06-08,-0.014404073258182493
2015-06-09,0.005033696270219323
2015-06-10,0.004800259950053842
2015-06-11,-0.003909816831402679
2015-06-12,-0.006066560618908312
2015-06-15,0.001010222320569909
2015-06-16,-2.0332642631792908e-4
2015-06-17,-0.0013633279921378971
2015-06-18,0.0025488164310925043
2015-06-19,-0.007986801640841534
2015-06-22,0.009333192261907541
2015-06-23,0.0077049613799768935
2015-06-24,0.00285401761557047
2015-06-25,-0.0033506481339262706
2015-06-26,-0.006019111663317034
2015-06-29,-0.02170172963690753
2015-06-30,0.004345186265778622
2015-07-02,0.005803128574484617
2015-07-03,0.0030286369880716535
2015-07-06,-0.006066474490220131
2015-07-07,0.0021151548224214167
2015-07-08,-0.014630100079269681
2015-07-09,-0.009313195042706113
2015-07-10,0.00924380649268386
2015-07-13,0.008436984901909028
2015-07-14,0.0045447579637318825
2015-07-15,0.004299101591476173
2015-07-16,0.004681318371002163
2015-07-17,-0.0060121449600920585
2015-07-20,-0.01494435483343004
2015-07-21,-0.003430303858623418
2015-07-22,-0.00481818480358065
2015-07-23,-0.0029188379284352806
2015-07-24,-0.005567377458799427
2015-07-27,-0.013112322340587568
2015-07-28,0.005413349821187907
2015-07-29,0.015814687477979206
2015-07-30,0.005647644826856535
2015-07-31,0.005933953287010851
2015-08-04,0.0015676529911541337
2015-08-05,8.208836593368574e-4
2015-08-06,-0.00671765257154
2015-08-07,-0.007189527718850286
2015-08-10,0.011380401803135598
2015-08-11,-0.0035802133220474985
2015-08-12,-0.005230565708707502
2015-08-13,-0.007075399505028557
2015-08-14,0.002770347077341029
2015-08-17,-0.0018507502996385483
2015-08-18,-0.004049841964556933
2015-08-19,-0.011144146168490465
2015-08-20,-0.02157525385666048
2015-08-21,-0.01935327065980097
2015-08-24,-0.0317446277996023
2015-08-25,0.007495203166053344
2015-08-26,0.01739037277473976
2015-08-27,0.02837204696630735
2015-08-28,0.007122216483047339
2015-08-31,-4.3283487081602345e-4
2015-09-01,-0.027593954322364667
2015-09-02,0.0046915351861862575
2015-09-03,0.003765471282079602
2015-09-04,-0.008724110268149232
2015-09-08,0.011243645737891939
2015-09-09,-0.007274726151141664
2015-09-10,0.0028042435415045475
2015-09-11,-0.008020374093964833
2015-09-14,-0.008070228630742804
2015-09-15,0.008159382277245442
2015-09-16,0.022119030018124874
2015-09-17,0.0016986966899175115
2015-09-18,-0.010228221434529061
2015-09-21,0.009662333386684097
2015-09-22,-0.0211445717978318
2015-09-23,-0.007992616620960291
2015-09-24,-0.0033679640959718427
2015-09-25,0.0029867871390987233
2015-09-28,-0.02835327525692577
2015-09-29,0.0024883576914938033
2015-09-30,0.020498743880963843
2015-10-01,-0.004904138317646911
2015-10-02,0.007358491876466644
2015-10-05,0.01580434406154474
2015-10-06,0.006992775374321525
2015-10-07,0.01607121339751849
2015-10-08,0.007921857514473274
2015-10-09,-0.001023494575472128
2015-10-13,-0.008608759869639826
2015-10-14,0.0022077649209322203
2015-10-15,-0.0033424304615827793
2015-10-16,6.57792817577274e-4
2015-10-19,-0.005776054233857408
2015-10-20,0.006050677158270901
2015-10-21,-0.009997882778128186
2015-10-22,0.012609660507376219
2015-10-23,0.005432690117661565
2015-10-26,-0.011735737386466383
2015-10-27,-0.0066423758710172365
2015-10-28,0.011871254618519345
2015-10-29,-0.005156369794669047
2015-10-30,-0.019231164630850728
2015-11-02,0.006909213776985723
2015-11-03,0.006387820143293865
2015-11-04,-0.0035437581660371364
2015-11-05,-0.007567834144968089
2015-11-06,-4.057229174190269e-4
2015-11-09,-0.005230109447516895
2015-11-10,-0.005279961256119847
2015-11-11,-0.005210486586024743
2015-11-12,-0.016223060051869354
2015-11-13,-0.0039537962651952085
2015-11-16,0.018346327716949773
2015-11-17,-0.0027896663187672033
2015-11-18,0.008965413466615502
2015-11-19,0.005492337573606676
2015-11-20,-0.0029954573750181623
2015-11-23,-0.003811147153873762
2015-11-24,0.001896172592035228
2015-11-25,-3.281773340955141e-4
