date,adjusted,volume
2015-08-17,14251.5,145429400
2015-08-18,14193.900390625,155036000
2015-08-19,14036.599609375,216708600
2015-08-20,13737,220463100
2015-08-21,13473.7001953125,242627500
2015-08-24,13052.7001953125,318857900
2015-08-25,13150.900390625,242924600
2015-08-26,13381.599609375,229144000
2015-08-27,13766.7001953125,269528200
2015-08-28,13865.099609375,217015300
2015-08-31,13859.099609375,274554700
2015-09-01,13481.900390625,223509200
2015-09-02,13545.2998046875,197082800
2015-09-03,13596.400390625,179596000
2015-09-04,13478.2998046875,142024500
2015-09-08,13630.7001953125,165293600
2015-09-09,13531.900390625,208366600
2015-09-10,13569.900390625,189545300
2015-09-11,13461.5,188368400
2015-09-14,13353.2998046875,161268500
2015-09-15,13462.7001953125,170456100
2015-09-16,13763.7998046875,245113200
2015-09-17,13787.2001953125,216804000
2015-09-18,13646.900390625,608096000
2015-09-21,13779.400390625,185414200
2015-09-22,13491.099609375,173972500
2015-09-23,13383.7001953125,155134600
2015-09-24,13338.7001953125,211139100
2015-09-25,13378.599609375,207201500
2015-09-28,13004.599609375,188785200
2015-09-29,13037,205446200
2015-09-30,13307,234915200
2015-10-01,13241.900390625,226505700
2015-10-02,13339.7001953125,215950500
2015-10-05,13552.2001953125,304422500
2015-10-06,13647.2998046875,284121300
2015-10-07,13868.400390625,338065200
2015-10-08,13978.7001953125,264683500
2015-10-09,13964.400390625,252713400
2015-10-13,13844.7001953125,212132700
2015-10-14,13875.2998046875,211035400
2015-10-15,13829,198093000
2015-10-16,13838.099609375,206490700
2015-10-19,13758.400390625,180214100
2015-10-20,13841.900390625,169687900
2015-10-21,13704.2001953125,187226100
2015-10-22,13878.099609375,213309700
2015-10-23,13953.7001953125,208995400
2015-10-26,13790.900390625,188864000
2015-10-27,13699.599609375,220051000
2015-10-28,13863.2001953125,245564200
2015-10-29,13791.900390625,248803000
2015-10-30,13529.2001953125,262586400
2015-11-02,13623,172222200
2015-11-03,13710.2998046875,213866400
2015-11-04,13661.7998046875,234638000
2015-11-05,13558.7998046875,225689200
2015-11-06,13553.2998046875,202938700
2015-11-09,13482.599609375,185883900
2015-11-10,13411.599609375,193360100
2015-11-11,13341.900390625,185492300
2015-11-12,13127.2001953125,234869800
2015-11-13,13075.400390625,204065700
2015-11-16,13317.5,181704800
2015-11-17,13280.400390625,181956500
2015-11-18,13400,183319400
2015-11-19,13473.7998046875,189696600
2015-11-20,13433.5,200454700
2015-11-23,13382.400390625,156074700
2015-11-24,13407.7998046875,218593400
2015-11-25,13403.400390625,188905300
2015-11-26,13425.2001953125,61259600
2015-11-27,13368.2001953125,100022000
2015-11-30,13469.7998046875,298491200
2015-12-01,13636.099609375,222514200
2015-12-02,13463.7998046875,215056100
2015-12-03,13324.7001953125,199938600
2015-12-04,13358.7998046875,225388700
2015-12-07,13042.7998046875,228591200
2015-12-08,12922.5,228968400
2015-12-09,12937.599609375,245500000
2015-12-10,13016.599609375,223401900
2015-12-11,12790,205777600
2015-12-14,12695.5,246218400
2015-12-15,12919.599609375,228818900
2015-12-16,13166.099609375,284652500
2015-12-17,13009.900390625,262462800
2015-12-18,13024.2998046875,530058000
2015-12-21,13034.400390625,192207100
2015-12-22,13082.900390625,162292500
2015-12-23,13284.900390625,192255300
2015-12-24,13309.7998046875,72358500
2015-12-29,13245.7998046875,120776600
2015-12-30,13142.2998046875,97136600
2015-12-31,13010,111101400
2016-01-04,12927.2001953125,186952500
2016-01-05,12920.099609375,181894700
2016-01-06,12726.7998046875,225652800
2016-01-07,12448.2001953125,293235700
2016-01-08,12445.5,220250200
2016-01-11,12319.2998046875,208496500
2016-01-12,12373.900390625,258256000
2016-01-13,12170.400390625,261525900
2016-01-14,12336,277737000
2016-01-15,12073.5,285852400
2016-01-18,11942.2001953125,100097400
2016-01-19,12002.2001953125,281063700
2016-01-20,11843.099609375,357071400
2016-01-21,12035.900390625,310391800
2016-01-22,12389.599609375,300418000
2016-01-25,12143.2001953125,224918400
2016-01-26,12331.2998046875,247219300
2016-01-27,12377.7998046875,281404400
2016-01-28,12591.900390625,295773300
2016-01-29,12822.099609375,331433000
2016-02-01,12674.400390625,207051200
2016-02-02,12442.2998046875,209651500
2016-02-03,12593,282033700
2016-02-04,12774.5,304632400
2016-02-05,12764,244547900
2016-02-08,12535.400390625,275959400
2016-02-09,12282.7001953125,309793400
2016-02-10,12185.7001953125,286727300
2016-02-11,12087.400390625,355026800
2016-02-12,12381.2001953125,252630300
2016-02-16,12555,282619700
2016-02-17,12867.2001953125,328295500
2016-02-18,12931.400390625,317561200
2016-02-19,12813.400390625,252609000
2016-02-22,12845.599609375,293520100
2016-02-23,12763.400390625,235355100
2016-02-24,12740.2998046875,312129400
2016-02-25,12753.599609375,248831300
2016-02-26,12797.7998046875,255406600
2016-02-29,12860.400390625,299128600
2016-03-01,12982.099609375,285256700
2016-03-02,13017.900390625,295879500
2016-03-03,13123.7001953125,343296700
2016-03-04,13212.5,394167400
2016-03-07,13383.599609375,343216600
2016-03-08,13311.099609375,330238400
2016-03-09,13392.900390625,300409700
2016-03-10,13379.099609375,274931600
2016-03-11,13522,239951500
2016-03-14,13477.5,232678300
2016-03-15,13400.2998046875,245980600
2016-03-16,13478.099609375,265553600
2016-03-17,13621.2998046875,314587600
2016-03-18,13497.099609375,680620500
2016-03-21,13561.099609375,182302300
2016-03-22,13493.5,191544100
2016-03-23,13379.5,247556200
2016-03-24,13358.099609375,192384300
2016-03-28,13390.2001953125,133834300
2016-03-29,13426.2001953125,189196700
2016-03-30,13504,212730200
2016-03-31,13494.400390625,219047700
2016-04-01,13440.400390625,205610900
2016-04-04,13336.2001953125,162699600
2016-04-05,13304.7001953125,181700400
2016-04-06,13347.5,209952600
2016-04-07,13266.400390625,209397600
2016-04-08,13396.7001953125,223954300
2016-04-11,13422.7998046875,215507800
2016-04-12,13581.400390625,287997300
2016-04-13,13671.400390625,236988900
2016-04-14,13668.2998046875,227931800
2016-04-15,13637.2001953125,201683900
2016-04-18,13719.7998046875,223276100
2016-04-19,13867.2998046875,260806600
2016-04-20,13911.2998046875,302419700
2016-04-21,13881.2001953125,263388500
2016-04-22,13874,224861200
2016-04-25,13796,182890300
2016-04-26,13809.400390625,223160700
2016-04-27,13887.7001953125,267456600
2016-04-28,13886.400390625,300923200
2016-04-29,13951.5,330816400
